Year,season,country,noc,population,gdpperc,athlete_share,host,country_medal_total,medal_share_predicted,positive_medal_share,predicted_medals,Difference_Acutal_Predicted,latitude,longitude,Unnamed: 0,year,Country,Difference_Actual_Predicted,Latitude,Longitude
2016.0,summer,Oman,OMA,4479220.0,38515.0,0.000408247,0,0.0,-0.005493071,0.0,0.0,0.0,21.0000287,57.0036901,,,,,,
2016.0,summer,Cameroon,CMR,23926500.0,2828.0,0.0013268,0,0.0,-0.001876711,0.0,0.0,0.0,4.6125522,13.1535811,,,,,,
2016.0,summer,Libya,LBA,6492160.0,8096.0,0.000714432,0,0.0,-0.0033807,0.0,0.0,0.0,26.8234472,18.1236723,,,,,,
2016.0,summer,Canada,CAN,36109500.0,43745.0,0.0289855,0,22.0,0.036572988,0.036572988,35.00034913,-13.00034913,61.0666922,-107.9917071,,,,,,
2016.0,summer,Japan,JPN,126995000.0,37465.0,0.0309247,0,41.0,0.041449434,0.041449434,39.66710836,1.332891644,36.5748441,139.2394179,,,,,,
2016.0,summer,New Zealand,NZL,4714100.0,34295.0,0.0145948,0,18.0,0.015463775,0.015463775,14.79883253,3.201167469,-41.5000831,172.8344077,,,,,,
2016.0,summer,United States of America,USA,323072000.0,53015.0,0.0507246,0,121.0,0.073228835,0.073228835,70.07999487,50.92000513,39.7837304,-100.4458825,,,,,,
2016.0,summer,Trinidad and Tobago,TTO,1377560.0,29178.0,0.0034701,0,1.0,-0.000578471,0.0,0.0,1.0,10.8677845,-60.9821067,,,,,,
2016.0,summer,El Salvador,ESA,6356140.0,8280.0,0.00102062,0,0.0,-0.002945755,0.0,0.0,0.0,13.8000382,-88.9140683,,,,,,
2016.0,summer,Brazil,BRA,206163000.0,13873.0,0.0351092,1,19.0,0.063230661,0.063230661,60.51174265,-41.51174265,-10.3333333,-53.2,,,,,,
2016.0,summer,Cote d'Ivoire,CIV,23822700.0,3395.0,0.00153092,0,2.0,-0.00161077,0.0,0.0,2.0,7.9897371,-5.5679458,,,,,,
2016.0,summer,Rwanda,RWA,11668800.0,1758.0,0.000714432,0,0.0,-0.002944414,0.0,0.0,0.0,-1.9646631,30.0644358,,,,,,
2016.0,summer,Malta,MLT,455356.0,29817.0,0.000816493,0,0.0,-0.004506923,0.0,0.0,0.0,35.8885993,14.4476911,,,,,,
2016.0,summer,Mali,MLI,17965400.0,1594.0,0.00061237,0,0.0,-0.002966471,0.0,0.0,0.0,16.3700359,-2.2900239,,,,,,
2016.0,summer,Namibia,NAM,2358040.0,9376.0,0.00112268,0,0.0,-0.002930379,0.0,0.0,0.0,-23.2335499,17.3231107,,,,,,
2016.0,summer,Liberia,LBR,4586790.0,829.0,0.000306185,0,0.0,-0.003624209,0.0,0.0,0.0,5.7499721,-9.3658524,,,,,,
2016.0,summer,Botswana,BOT,2159930.0,15198.0,0.00112268,0,0.0,-0.003245539,0.0,0.0,0.0,-23.1681782,24.5928742,,,,,,
2016.0,summer,Albania,ALB,2876100.0,10342.0,0.00061237,0,0.0,-0.003717889,0.0,0.0,0.0,41.000028,19.9999619,,,,,,
2016.0,summer,Kazakhstan,KAZ,17794100.0,23842.0,0.0112268,0,18.0,0.011347974,0.011347974,10.86001108,7.139988915,47.2286086,65.2093197,,,,,,
2016.0,summer,Malawi,MAW,17205300.0,1112.0,0.000510308,0,0.0,-0.003104079,0.0,0.0,0.0,-13.2687204,33.9301963,,,,,,
2016.0,summer,Spain,ESP,46484100.0,30110.0,0.0240865,0,17.0,0.030339775,0.030339775,29.03516481,-12.03516481,39.3262345,-4.8380649,,,,,,
2016.0,summer,Tunisia,TUN,11303900.0,11073.0,0.00510308,0,3.0,0.002962297,0.002962297,2.834918182,0.165081818,33.8439408,9.400138,,,,,,
2016.0,summer,Kenya,KEN,49051500.0,3169.0,0.00591958,0,13.0,0.005287126,0.005287126,5.059779715,7.940220285,1.4419683,38.4313975,,,,,,
2016.0,summer,Madagascar,MAD,24894400.0,1381.0,0.00061237,0,0.0,-0.002824913,0.0,0.0,0.0,-18.9249604,46.4416422,,,,,,
,Winter,,CAN,35437400.0,43607.0,0.0682742,0,25.0,0.0849951406335793,0.0849951406335793,24.988571346272337,,,,0.0,2014.0,Canada,0.0114286537276626,61.0666922,-107.9917071
,Winter,,AZE,9535080.0,17439.0,0.00108372,0,0.0,-0.0022951460520015,0.0,0.0,,,,1.0,2014.0,Azerbaijan,0.0,40.3936294,47.7872508
,Winter,,ISL,327386.0,38563.0,0.00298022,0,0.0,0.0100633861368347,0.0100633861368347,2.9586355242294284,,,,2.0,2014.0,Iceland,-2.9586355242294284,64.9841821,-18.1059013
,Winter,,PAR,6599520.0,8382.0,0.000270929,0,0.0,-0.0075713593741548,0.0,0.0,,,,3.0,2014.0,Paraguay,0.0,-23.3165935,-58.1693445
,Winter,,ALB,2889100.0,9808.0,0.000541859,0,0.0,-0.00656822562226,0.0,0.0,,,,4.0,2014.0,Albania,0.0,41.000028,19.9999619
,Winter,,LTU,2932370.0,23252.0,0.00541859,0,0.0,0.0053587395735189,0.0053587395735189,1.57546943461457,,,,5.0,2014.0,Lithuania,-1.57546943461457,55.3500003,23.7499997
