Country,NOC,Year,Season,Host,athlete_count_x,Population,GDP per capita,Gold,Silver,Bronze,country_medal_total,athlete_count_y,olympic_total,medal_share,athlete_share,Lattitude,Longitude
258,DOM,1972,Summer,0,5,4755464,2928,0,0,0,0,5864,373,0,0.00085266,,
259,ECU,1972,Summer,0,4,6429377,4801,0,0,0,0,5864,373,0,0.000682128,,
260,EGY,1972,Summer,0,26,36102670,2047,0,0,0,0,5864,373,0,0.004433834,,
261,ESA,1972,Summer,0,15,3867310,3668,0,0,0,0,5864,373,0,0.002557981,,
262,ESP,1972,Summer,0,102,34604469,10796,0,0,1,1,5864,373,0.002680965,0.01739427,,
263,ETH,1972,Summer,0,31,30140799,995,0,0,2,2,5864,373,0.00536193,0.005286494,,
264,FIN,1972,Summer,0,113,4639657,16654,3,1,4,8,5864,373,0.021447721,0.019270123,,
265,FRA,1972,Summer,0,268,52793151,19549,2,4,7,13,5864,373,0.034852547,0.045702592,,
266,GAB,1972,Summer,0,1,611705,6559,0,0,0,0,5864,373,0,0.000170532,,
267,GBR,1972,Summer,0,336,56086065,18002,4,5,9,18,5864,373,0.048257373,0.057298772,,
268,GHA,1972,Summer,0,23,9229640,2235,0,0,1,1,5864,373,0.002680965,0.003922237,,
269,GRE,1972,Summer,0,54,8888628,11795,0,2,0,2,5864,373,0.00536193,0.009208731,,
270,GUA,1972,Summer,0,11,5723759,5037,0,0,0,0,5864,373,0,0.001875853,,
271,HAI,1972,Summer,0,7,4837334,1635,0,0,0,0,5864,373,0,0.001193724,,
272,HKG,1972,Summer,0,16,4123600,10632,0,0,0,0,5864,373,0,0.002728513,,
273,HUN,1972,Summer,0,259,10398489,8505,6,13,16,35,5864,373,0.09383378,0.044167804,,
274,INA,1972,Summer,0,7,121017316,2117,0,0,0,0,5864,373,0,0.001193724,,
275,IND,1972,Summer,0,29,581087255,1329,0,0,1,1,5864,373,0.002680965,0.00494543,,
276,IRL,1972,Summer,0,69,3036850,10621,0,0,0,0,5864,373,0,0.011766712,,
277,ISL,1972,Summer,0,16,209137,17366,0,0,0,0,5864,373,0,0.002728513,,
