NOC,Year,winter_athlete_count
NOR,2010,146
NOR,2014,167
NZL,1952,6
NZL,1960,12
NZL,1968,15
NZL,1972,6
NZL,1976,13
NZL,1980,11
NZL,1984,9
NZL,1988,13
NZL,1992,7
NZL,1994,13
NZL,1998,8
NZL,2002,12
NZL,2006,17
NZL,2010,22
NZL,2014,18
PAK,2010,1
PAK,2014,1
PAR,2014,1
PER,2010,5
PER,2014,5
PHI,1972,4
PHI,1988,1
PHI,1992,2
PHI,2014,1
POL,1924,15
POL,1928,16
POL,1932,13
POL,1936,19
POL,1948,25
POL,1952,27
POL,1956,42
POL,1960,23
POL,1964,62
POL,1968,44
POL,1972,40
POL,1976,64
POL,1980,20
POL,1984,23
POL,1988,22
POL,1992,67
POL,1994,49
POL,1998,63
POL,2002,45
POL,2006,77
POL,2010,89
POL,2014,116
POR,1952,1
POR,1988,2
POR,1994,4
POR,1998,2
POR,2006,1
POR,2010,1
POR,2014,4
PRK,1964,20
PRK,1972,10
PRK,1984,17
PRK,1988,15
PRK,1992,36
PRK,1998,14
PRK,2006,7
PRK,2010,3
PUR,1984,1
PUR,1988,17
PUR,1992,3
PUR,1994,2
PUR,1998,3
ROU,1928,1
ROU,1932,2
ROU,1936,13
ROU,1948,14
ROU,1952,22
ROU,1956,23
ROU,1964,9
ROU,1968,15
ROU,1972,14
ROU,1976,13
ROU,1980,12
ROU,1984,25
ROU,1988,16
ROU,1992,53
ROU,1994,40
ROU,1998,22
ROU,2002,33
ROU,2006,40
ROU,2010,37
ROU,2014,33
RSA,1960,4
RSA,1994,3
RSA,1998,3
RSA,2002,4
RSA,2006,9
RSA,2010,2
RUS,1994,157
RUS,1998,149
RUS,2002,176
RUS,2006,198
RUS,2010,198
RUS,2014,246
SCG,1998,2
SCG,2002,5
SCG,2006,11
SEN,1984,2
SEN,1992,10
SEN,1994,1
SEN,2006,3
SEN,2010,2
SLO,1992,55
SLO,1994,53
SLO,1998,60
SLO,2002,84
SLO,2006,85
SLO,2010,94
SLO,2014,85
SMR,1976,3
SMR,1984,6
SMR,1988,12
SMR,1992,8
SMR,1994,2
SMR,2002,1
